origin,origin_length,game_order,text_jp,text_en,verified,game_order
0x0e056abc,56,0,こんにちは!\n「わんわん 愛情物語」\nの世界にようこそ!\k,,,
0x0e056af4,26,1,下のメニューを選んでね。\k,,,
0x0e056b10,17,2,\!初めからあそぶ\n,,,
0x0e056b24,17,3,\!続きからあそぶ\n,,,
0x0e056b38,15,4,\!日記をうつす\n,,,
0x0e056b48,13,5,\!日記をけす\n,,,
0x0e056b58,48,6,十字キーの上下で選んで、\nAボタンを押すんじゃ。,,,
0x0e056d90,35,7,まずは、\n下の日記を選ぶんだモン。\k,,,
0x0e057eb0,41,8,\!   第\%\d章−シーン\%\d\n\>   \%\M\>と\>\%\B\n,,,
0x0e057edc,15,9,\!   無し\n\>\n,,,
0x0e056db4,50,11,十字キーの上下で選んで、\nAボタンを押すんだモン。,,,
0x0e057130,43,18,この前の続きだガン!\nどの日記だったガン?\k,,,
0x0e05715c,48,22,十字キーの上下で選んで、\nAボタンで決定だガン。,,,
0x0e057334,48,23,なに〜!\nこの日記には、\n何も書いてないである!\k,,,
0x0e057364,68,24,「初めからあそぶ」で\n作った日記でないと\n続きからは出来ないんじゃ!\k,,,
0x0e0574d4,28,39,どの日記をうつすんだグア?\n,,,
0x0e0574f0,48,40,十字キーの上下で選んで、\nAボタンで決定だグア。,,,
0x0e05755c,34,41,この日記をどこに\nうつすんだグア?,,,
0x0e0578fc,56,42,この日記は\nうつし先の日記を\n消さないと、うつせないグア\k,,,
0x0e057934,49,43,うつし先の日記を\n消してグア?\n  \!はい/\!いいえ,,,
0x0e057580,37,44,それじゃあ、\nこの日記を消して………\k,,,
0x0e0575a8,45,45,この日記をこっちにうつして\nできあがりだグア\k,,,
0x0e0579d4,61,52,それじゃあ、日記を\nうつすけど、いいグア?\n  \!はい/\!いいえ,,,
0x0e0575d8,51,53,グアッ!グアッ!グアッ!\nこの日記をうつしたグア!\k,,,
0x0e057a6c,51,73,消した日記は2度と戻らない\nから注意するんじゃよ。\k,,,
0x0e057aa0,71,77,どの日記を消すのかな?\n十字キーの上下で選んで、\nAボタンで決定じゃよ。,,,
0x0e057d08,42,78,この日記を消すんだね?\n  \!はい/\!いいえ,,,
0x0e057d34,45,79,本当に日記を\n消すんだね?\n  \!はい/\!いいえ,,,
0x0e057ae8,44,80,よし、それじゃあ\nこの日記を消すよ…………\k\n,,,
0x0e057b14,24,81,よし、これで消えたよ。\k,,,
0x0e057b2c,35,87,じゃあ、\n消さないでおこうかのぉ。\k,,,
0x0e057b50,37,88,まちがえて消したら\nたいへんだからね\k,,,
0x0e057000,31,122,この日記は、\n誰か使っておるぞ\k,,,
0x0e057020,37,123,この日記を消して\n始めるのであるか?\n,,,
0x0e057048,19,124,\!はい/\!いいえ,,,
0x0e0580f4,26,130,主人公の名前は何にする?\k,,,
0x0e058110,75,131,十字キーの上下左右で選んで、\nAボタンで選ぶの。\n文字を消す時はBボタンね。,,,
0x0e058160,30,132,\%\Mちゃんね。\n \!はい/\!いいえ,,,
0x0e056df4,54,136,うむ。それでは、\n「わんわん愛情物語」\n始めるである!\k,,,
0x0e00c1f4,12,137,ただいまー\k,,,
0x0e00c200,28,138,わあ、パパ、お帰りなさい!\k,,,
0x0e00c21c,24,139,お帰りなさい、あなた。\k,,,
0x0e00c234,33,140,\%\M、\n今日はいいコにしてたかい?\k,,,
0x0e00c258,46,141,パパ、\%\M、\nもうちっちゃいコじゃ\nないんだよ?\k,,,
0x0e00c288,19,142,ははっ、そうか。\k\n,,,
0x0e00c29c,28,143,でも、今日はトクベツだろ?\k,,,
0x0e00c2b8,43,144,パパ、覚えててくれたの?\n\%\Mのたん生日!!\k,,,
0x0e00c2e4,17,145,もちろんだよ。\k\n,,,
0x0e00c2f8,52,146,さあ、\nプレゼントは部屋の中だよ。\nさがしてごらん?\k,,,
0x0e00c32c,20,147,わあ、なんだろう?\k,,,
0x0e00c340,15,148,えっ?\kえっ?\k,,,
0x0e00c350,33,149,いま、\nキューン、っていった??\k,,,
0x0e00c374,44,150,うっわぁー! かわいい!!\n子犬だああ!!\k\n,,,
0x0e00c3a0,22,151,パパ!! 子犬だあ!\k,,,
0x0e00c3b8,48,152,あらっ!子犬じゃない!\k\nまああ かわいいこと!\k,,,
0x0e00c3e8,72,153,ハハハ、前にかってた、\nキャプテンが死んで、もう\nずいぶんたったもんな。\k,,,
0x0e00c430,54,154,新しい、家族よ。\n\%\Mちゃん、\n名前を付けてあげなさい。\k,,,
0x0e00c468,55,155,うふ かわいい!!\k\n名前は……\n何にしようかなあ………\k,,,
0x0e058254,24,156,子犬の名前は何にする?\k,,,
0x0e05826c,75,157,十字キーの上下左右で選んで、\nAボタンで決定だ。\n文字を消す時はBボタンだ。,,,
0x0e0582b8,26,158,\%\Bだね。\n \!はい/\!いいえ,,,
0x0e00c4a0,35,162,\%\B、\nキミの名前は\%\Bだよ\k\n覚えた?\k,,,
0x0e00c4c4,23,163,\%\B!\%\B!\nかっわいい!\k,,,
0x0e00c4dc,39,164,おっきいお耳!\nフフッ 空も飛べそう。\k,,,
0x0e00c504,22,165,パパ!ありがとう!!\k,,,
0x0e00c51c,6,166,\%\M。\k,,,
0x0e00c524,51,167,生き物なんだから、大事に\nかわいがって育てるのよ。\k,,,
0x0e00c558,37,168,あきてほったらかしに\nしちゃダメよ。\k,,,
0x0e00c580,45,169,そうだ、しつけもちゃんと\nしてあげなきゃな。\k,,,
0x0e00c5b0,10,170,しつけ?\k,,,
0x0e00c5bc,54,171,そうだね。\nまずは、おすわりを教えて\nあげるといいよ。\k,,,
0x0e00c5f4,14,172,どうやるの?\k,,,
0x0e00c604,41,173,パパがやってみせるから、\nみていなさい。\k,,,
0x0e00d280,44,174,いいかい、\%\M。\nこうやって\%\Bの\nせなかを……\k,,,
0x0e00d2ac,45,175,「おすわり!」って\n言いながらたたくんだよ。\k,,,
0x0e00d2dc,6,176,\%\B。\k,,,
0x0e00d2e4,12,177,おすわり!\k,,,
0x0e00d2f0,10,178,\%\B、\%\B!\k,,,
0x0e00d2fc,28,179,おすわり!\k\n\%\B、おすわり!\k,,,
0x0e00d318,50,180,よし!よし!\n\%\Bはおりこうだな。\nもう覚えたのか。\k,,,
0x0e00d34c,31,181,よ〜し、\nいいコだ、いいコだ!\k,,,
0x0e00d36c,49,182,さあ、\%\M。\k\nパパがやったとおりに\nやってごらん。\k,,,
0x0e00d3a0,8,183,うん!\k,,,
0x0e00d898,19,184,\!おすわりを教える\n,,,
0x0e00d8ac,6,185,\%\B!\k,,,
0x0e00d8b4,16,187,\%\B、おすわり!\k,,,
0x0e00d8c4,16,188,\%\B!おすわり!\k,,,
0x0e00d8d4,31,189,パパぁ、\%\B\nおすわりしないよ。\k,,,
0x0e00d8f4,52,190,\%\M。\nあきらめちゃダメだよ。\nもう1回やってごらん。\k,,,
0x0e00d928,9,191,うん。\k\n,,,
0x0e00d934,39,192,\!おすわりを教える。\n\!教えるのやめる。\n,,,
0x0e00d95c,50,193,\%\M。\k\nあきらめちゃダメだ。\k\n根気よく続けなきゃ。\k,,,
0x0e00d990,29,202,やったー!!\n\%\B、エラーイ!\k,,,
0x0e00d9b0,44,203,パパ、\%\Bが\nおすわりできるように\nなったよ。\k,,,
0x0e00e2d4,35,204,よーし、じゃあ\n次はとってこいだ!\k,,,
0x0e00e2f8,39,205,パパのやりかたを\nよく見ているんだよ。\k,,,
0x0e00e3c4,31,207,\%\B。\nあそこにボールあるだろ。\k,,,
