address_label,enabled,data_old,data_new,asm,asm_label,
## Enabled patches are in Kasami's current prepatch bin,,,,,,
,,,,,,
## HALFWIDTH ASCII PATCH,,,,,,
# Character spacing 6px. Preserves menu pointer offset,TRUE,,,,,
005B4E,,322C,0009,,,
006FD8,,E401,E402,,,
# Regular text blit 6x12,TRUE,,,,,
006CD4,,E700,E706,,,
006D04,,00F4,00FA,,,
"# Shadowed text blit 6x12
# 6th column of used glyphs must be clear",TRUE,,,,,
006D92,,E700,E706,,,
006DCA,,E700,E706,,,
006DF2,,00F4,00FA,,,
"# Control code remap to lower ASCII
# Frees 140 bytes at 6F16-6FA1",TRUE,,,,,
006EE8,,E14E 74E0,E108 74E8,,,
006F04,,00E4,00FA,,,
006F08,,0108 00B8 0108 0108,00B8 00BE 00A8 009E,,,
006F10,,0108 0108 0108,00F0 00DE 00E4,,,
# Remap printable ASCII to font page 3,TRUE,,,,,
007088,,71D0,71DF,,,
00708C,,E709,E75D,,,
00714E,,821F,8820,,,
# Fix text box padding,TRUE,,,,,
005442,,76EA,76EF,,,
00546C,,77EA,77F4,,,
0054FA,,76EA,76EF,,,
005524,,77EA,77F4,,,
0055B2,,76EA,76EF,,,
0055DC,,77EA,77F4,,,
# Draw text and cursors 2 pixels further to the right in text box,TRUE,,,,,
005AE8,,7106,7108,,,
005FFC,,7205,7207,,,
0585B0,,7205,7207,,,
# TEXT SEALS: remap printable ASCII to font page 3,TRUE,,,,,
0082CC,,00D0,00DF,,,
00828A,,E309,E35D,,,
0082CE,,821F,8820,,,
# TEXT SEALS: text blit 6x12,TRUE,,,,,
0080DA,,E700,E706,,,
008108,,00F4,00FA,,,
# TEXT SEALS: character spacing 6px,TRUE,,,,,
0081BC,,311C,0009,,,
# TEXT SEALS: control code remap to lower ASCII,TRUE,,,,,
0081FC,,884E,881E,,,
008204,,890E,0009,,,
008206,,883E,881F,,,
00820A,,E13E,E11F,,,
00820E,,8905,8B05,,,
00821C,,8843,881C,,,
,,,,,,
## NAME ENTRY,,,,,,
# Change girl name default from もも to Momo,TRUE,,,,,
06AA38,,82E0 82E0,4D 6F 6D 6F,,,
06CC00,,82E0 82E0,4D 6F 6D 6F,,,
# Change dog name default from バク to Barkley,TRUE,,,,,
06AA44,,836F 834E 00FF FFFF,42 61 72 6B 6C 65 79 00,,,
06CC08,,836F 834E 0009 0009,42 61 72 6B 6C 65 79 00,,,
# Change pre-choice dog name default from ？？？？ to ????,TRUE,,,,,
056DE8,,8148 8148 8148 8148,3F 3F 3F 3F 00 00 00 00,,,
"# Change blank name placeholder to halfwidth spaces
# May be unused",TRUE,,,,,
0580E8,,8140 8140 8140 8140,20 20 20 20 20 20 20 20,,,        
# Name entry field cursor spacing,TRUE,,,,,
05859C,,4108,4100,,,
"# Function printCharCustom @6D028 (end 6D04C)
# Accepts ASCII or JIS, remaps ASCII space as needed.",TRUE,,,,,
06D028,,FFFF,2F86,"mov.l r8,@-r15",,
06D02A,,FFFF,E87F,"mov #0x7F,r8",,
06D02C,,FFFF,3487,"cmp/gt r8,r4",,
06D02E,,FFFF,8906,bt :doPrint,,
06D030,,FFFF,E820,"mov #0x20,r8",,
06D032,,FFFF,3480,"cmp/eq r8,r4",,
06D034,,FFFF,8B01,bf :printAscii,,
06D036,,FFFF,9405,"mov.w @(charSpace,pc),r4",,
06D038,,FFFF,8901,bt :doPrint,,
06D03A,,FFFF,9804,"mov.w @(baseCharAscii,pc),r8",:printAscii,
06D03C,,FFFF,348C,"add r8,r4",,
06D03E,,FFFF,D002,"mov.l @(addr_printChar,pc), r0",:doPrint,
06D040,,FFFF,402B,jmp @r0 ; TAILCALL printChar(r4),,
06D042,,FFFF,68F6,"_mov.l @r15+,r8",,
06D044,,FFFF,8140,dw 0x8140,charSpace,
06D046,,FFFF,8820,dw 0x8820,baseCharAscii,
06D048,,FFFFFFFF,0E006E00,addr printChar=0x0E006E00,addr_printChar,
# Name entry field uses printCharCustom,TRUE,,,,,
05854E,,6485,6484,,,
058552,,644D,644C,,,
0585DC,,0E006E00,0E06D028,,,
# Name entry grid uses printCharCustom,TRUE,,,,,
058874,,0E006E00,0E06D028,,,
# Name entry edits byte instead of word,TRUE,,,,,
058996,,301C,0009,,,
05899C,,0215,0214,,,
0589C0,,372C,0009,,,
0589C8,,0135,0134,,,
0589D8,,8140,0020,,,
# Fix name entry field initialization,TRUE,,,,,
0586A8,,E304,E308,,,
0586B4,,7202,7201,,,
0586D4,,317C,0009,,,
0586DE,,337C,0009,,,
0586E8,,4218,0009,,,
0586F2,,2611,2620,,,
0586F4,,76FE,76FF,,,
0586FC,,8140,20 20,,,
# Name entry accepts 8 characters,TRUE,,,,,
05855A,,E003,E007,,,
058564,,8804,8808,,,
05890C,,8804,8808,,,
05894C,,E303,E307,,,
05895E,,8804,8808,,,
0589CA,,E003,E007,,,
058A3A,,8804,8808,,,
# Fix name trimming and default setting,TRUE,,,,,
05860A,,E303,E307,,,
058610,,6121,6120,,,
058612,,611D,611C,,,
058618,,72FE,72FF,,,
05863C,,373C,0009,,,
058644,,7102,7101,,,
058656,,373C,0009,,,
058666,,2210,0009,,,
058670,,76FE,76FF,,,
05867E,,8140,0020,,,
058682,,32D6,32D7,,,
"# Function getNameCharUpdateCaps @6D04C (end 6D080)
# Must call from nameEntry as caller registers are modified",TRUE,,,,,
06D04C,,FFFF,2F86,"mov.l r8,@-r15",,
