origin,pointers,origin_length,game_order,text_original,text_trans_dialogwidth,text_trans_bookwidth,text_trans_printwidth,notes_alts,,,,,,,,,,,,,,,,,,,,,,
,,,-1,,1234567890123456789012345678,123456789012345678,"1234567890123456789012345678901234567890
         |10       |20       |30       |40",←Locking this row to preview line width,,,,,,,,,,,,,,,,,,,,,,
0x0E056ABC,0x0E056D28,56,0,こんにちは！{nl}「わんわん　愛情物語」{nl}の世界にようこそ！{np},"Welcome to the world of
""Puppy Love Story!""{heart}{np}",,,"* For grabbing pointers:
IFERROR(VLOOKUP(A3, strings_tl_en!A:E, 5, FALSE), """")",,,,,,,,,,,,,,,,,,,,,,
0x0E056AF4,0x0E056D3C,26,1,下のメニューを選んでね。{np},"Choose from the menu
to get started!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E056B10,0x0E056D4C,17,2,{opt}初めからあそぶ{nl},{opt}New Game{nl},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E056B24,0x0E056D50,17,3,{opt}続きからあそぶ{nl},{opt}Continue{nl},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E056B38,0x0E056D54,15,4,{opt}日記をうつす{nl},{opt}Copy Save{nl},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E056B48,0x0E056D58,13,5,{opt}日記をけす{nl},{opt}Delete Save{nl},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E056B58,0x0E056D64,48,6,十字キーの上下で選んで、{nl}Ａボタンを押すんじゃ。,"Move the cursor with
{dpad_u}{hsp}{dpad_d} then press {btn_a}.",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E056D90,0x0E056FB0,35,7,まずは、{nl}下の日記を選ぶんだモン。{np},"First, choose your save
below!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E057EB0,0x0E057F48,41,8,{opt}　　　第%d章−シーン%d{nl}{hsp}　　　{momo}{hsp}と{hsp}{baku}{nl},{opt}      Ch %d-%d{nl}       {momo}{hsp}&{hsp}{baku}{nl},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E057E88,0x0E057F40,37,4763,{opt}　　　オールクリア{nl}{hsp}　　　{momo}{hsp}と{hsp}{baku}{nl},{opt}      All Clear {dogface}{nl}       {momo}{hsp}&{hsp}{baku}{nl},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E057EDC,0x0E057F54,15,9,{opt}　　　無し{nl}{hsp}{nl},{opt}      (Empty){nl}{hsp}{nl},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E056DB4,0x0E056FBC,50,11,十字キーの上下で選んで、{nl}Ａボタンを押すんだモン。,"Move the cursor with
{dpad_u}{hsp}{dpad_d} then press {btn_a}.",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E057130,0x0E0572E8,43,18,この前の続きだガン！{nl}どの日記だったガン？{np},"Continuing the story?
Which save?{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E05715C,0x0E0572F8,48,22,十字キーの上下で選んで、{nl}Ａボタンで決定だガン。,"Choose an option with
{dpad_u}{hsp}{dpad_d} and press {btn_a} to decide.",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E057334,0x0E0573F4,48,23,なに〜！{nl}この日記には、{nl}何も書いてないである！{np},"Huh?! But there's nothing
in this slot!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E057364,0x0E0573FC,68,24,「初めからあそぶ」で{nl}作った日記でないと{nl}続きからは出来ないんじゃ！{np},"If you haven't started a
save with ""New Game,""
you can't continue!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E0574D4,0x0E0576CC,28,39,どの日記をうつすんだグア？{nl},Copy which save?{nl},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E0574F0,0x0E0576D4,48,40,十字キーの上下で選んで、{nl}Ａボタンで決定だグア。,"Choose an option with {dpad_u}{hsp}{dpad_d} 
and press {btn_a} to decide. Wak!",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E05755C,0x0E05781C,34,41,この日記をどこに{nl}うつすんだグア？,"Where should we copy the
save to?",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E0578FC,0x0E0579BC,56,42,この日記は{nl}うつし先の日記を{nl}消さないと、うつせないグア{np},"Copying the save here will 
delete the existing save!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E057934,0x0E0579C8,49,43,うつし先の日記を{nl}消してグア？{nl}　　{opt}はい／{opt}いいえ,"Really overwrite this save
with the copy?
  {opt}Yes /{opt}No",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E057580,0x0E057830,37,44,それじゃあ、{nl}この日記を消して………{np},"Okay, deleting this save...{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E0575A8,0x0E057838,45,45,この日記をこっちにうつして{nl}できあがりだグア{np},"Done! Copied the save
over here.{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E0579D4,0x0E057A5C,61,52,それじゃあ、日記を{nl}うつすけど、いいグア？{nl}　　{opt}はい／{opt}いいえ,"Okay, we're gonna copy this
save, right?
  {opt}Yes /{opt}No",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E0575D8,0x0E0578D8,51,53,グアッ！グアッ！グアッ！{nl}この日記をうつしたグア！{np},"Wak-wak-wak! The save is
copied!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E057A6C,0x0E057CB8,51,73,消した日記は２度と戻らない{nl}から注意するんじゃよ。{np},"There's no returning to a
deleted save, so take care.{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E057AA0,0x0E057CD0,71,77,どの日記を消すのかな？{nl}十字キーの上下で選んで、{nl}Ａボタンで決定じゃよ。,"Delete which save?
Select one with {dpad_u}{hsp}{dpad_d}
and press {btn_a} to confirm!",,,* TODO maybe add reminders everywhere that B goes back up a menu,,,,,,,,,,,,,,,,,,,,,,
0x0E057D08,0x0E057DC0,42,78,この日記を消すんだね？{nl}　　{opt}はい／{opt}いいえ,"So, delete this save?
  {opt}Yes /{opt}No",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E057D34,0x0E057DD4,45,79,本当に日記を{nl}消すんだね？{nl}　　{opt}はい／{opt}いいえ,"You're totally sure you
want to delete it?
  {opt}Yes /{opt}No",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E057400,0x0E0574C0,45,,この日記でいいんだガン？{nl}　　{opt}はい／{opt}いいえ{nl},"This save, you're sure?
  {opt}Yes /{opt}No{nl}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E057430,0x0E0574D0,33,,それじゃあ、{nl}この前の続きだガン{np},"All right, let's jump
back in!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E057AE8,0x0E057CE8,44,80,よし、それじゃあ{nl}この日記を消すよ…………{np}{nl},"Right, deleting the save
now...{np}{nl}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E057B14,0x0E057CF4,24,81,よし、これで消えたよ。{np},OK! Done.{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E057B2C,0x0E057CF8,35,87,じゃあ、{nl}消さないでおこうかのぉ。{np},"Okay, we'll leave that one
alone.{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E057B50,0x0E057CFC,37,88,まちがえて消したら{nl}たいへんだからね{np},"It'd be awful if you deleted
it by mistake.{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E057000,0x0E057114,31,122,この日記は、{nl}誰か使っておるぞ{np},"Someone's already using this
save.{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E057020,0x0E05711C,37,123,この日記を消して{nl}始めるのであるか？{nl},"Should we delete it and
start over?{nl}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E057048,0x0E057120,19,124,　　{opt}はい／{opt}いいえ,    {opt}Yes /{opt}No,,,,,,,,,,,,,,,,,,,,,,,,,
0x0E05705C,0x0E057128,39,,それじゃあ、{nl}この日記を消して…………{nl},"Okay, deleting the
save now...",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E057084,0x0E05712C,28,,さて新しく始めるとするぞ！{np},"Done!
All ready for a new game!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E057520,0x0E0577FC,58,,この日記には{nl}何も書いてないグア！{nl}これじゃうつせないグア{np},"Huh? But, there's nothing
to copy there! HONK!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0E0580F4,0x0E058228,26,130,主人公の名前は何にする？{np},"What should our hero be
called?{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E058110,0x0E05822C,75,131,十字キーの上下左右で選んで、{nl}Ａボタンで選ぶの。{nl}文字を消す時はＢボタンね。,"Choose a letter with {dpad_all}
and press {btn_a} to enter it.
Delete a letter with {btn_b}.",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E058160,0x0E058244,30,132,{momo}ちゃんね。{nl}　{opt}はい／{opt}いいえ,"{momomo}, is that right?
  {opt}Yes /{opt}No",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E056DF4,0x0E056FFC,54,136,うむ。それでは、{nl}「わんわん愛情物語」{nl}始めるである！{np},"Ahem-hem! Well then, let
the tale begin!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CHAPTER 1,,,,,,,,,,,,,,,,,,,,,,
0x0E00C1F4,0x0E00C808,12,137,ただいまー{np},I'm home!{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00C200,0x0E00C828,28,138,わあ、パパ、お帰りなさい！{np},Papa! You're back!{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00C21C,0x0E00C82C,24,139,お帰りなさい、あなた。{np},"Welcome home, dear.{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00C234,0x0E00C84C,33,140,{momo}、{nl}今日はいいコにしてたかい？{np},"{momomo}, were you a good
girl today?{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00C258,0x0E00C854,46,141,パパ、{momo}、{nl}もうちっちゃいコじゃ{nl}ないんだよ？{np},"Papa! I'm not a LITTLE KID
any more!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00C288,0x0E00C858,19,142,ははっ、そうか。{np}{nl},"Haha, I know, sweetie.{np}{nl}",,,"Haha! I know, kiddo.{np}{nl}",,,,,,,,,,,,,,,,,,,,,,
0x0E00C29C,0x0E00C9FC,28,143,でも、今日はトクベツだろ？{np},"But, today is a VERY SPECIAL
day, isn't it?{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00C2B8,0x0E00CA0C,43,144,パパ、覚えててくれたの？{nl}{momo}のたん生日！！{np},"Papa, you remembered?
It's my birthday!!!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00C2E4,0x0E00CA10,17,145,もちろんだよ。{np}{nl},Of course I did!{np}{nl},,,,,,,,,,,,,,,,,,,,,,,,,
